86.18.110.250            태초에 말씀이 계시니라, 말씀이 하나님과 함께 계셨고, 말씀이 육신이 되셨으니 이는 예수님이시라!
86.18.110.250  1234      주님 구데기를 잘 청소했습니다.<br />감사합니다. :)
217.33.11.18             성령님, 끝까지 교수님을 포함한 관계된 모든 분들께 헤개의 마음을 부탁드립니다.<br />겸손함으로 무릎꿇고 나아가도록 하겠습니다. 도와주세요.
217.33.11.18   1234      주님 정말 감사합니다. 마음이 많이 편해지네요. 이제 큰 변경없이 마무리 작업만 하면 될 것 같아요. 그래도 끝까지 인도하심을 기도하고 의지할께요.<br />주님을 의지한 결과로써 어떠한 결과 더라도 주님이 주시는 평안함으로 한걸음씩 나아가도록 그리고 나아갈 수 있도록 할께요.<br />
86.18.110.250            주님께서 나를 이곳에 보내신 이유를 사람이 아닌 또는 나의 만족이 아닌,<br />주님의 뜻에서 다시 발견하게 하시고 주님만이 나의 이유임을 다시한번 고백합니다.
86.18.110.250            주님 사이몬에게 헤개의 마음을 부탁드려요.<br />그리고 감사합니다.
86.18.110.250            주님 관련된 모든 분들에게 헤개의 마음을 부탁드립니다.
86.18.110.250            주님 관계된 모든 분들에게 해게의 마음을 부탁드려요.
217.33.11.18             주님 아내가 포기하였습니다. 하지만 이일을 통하여 선하게 역사하실 주님을 기대합니다. 주님 감사합니다.<br />
86.18.110.250            특히 아내의 마음을 부탁드려요.<br />주님 또한 몸이 안좋다고 하네요. 육적으로 영적으로 주님의 치유의 손길을 기도합니다.<br />성령님 불쌍히 여겨주시고 이미 또한 감사드리며 또한 감사합니다.
86.18.110.250  1234      주님 감사합니다. 오늘 회의를 좋은 분위기 가운데 잘 마치게 해주셔서 감사해요.
217.33.11.18             주님 오늘은 지도교수님과 회의가 있네요.<br />담대함으로 잘 나아갈 수 있도록 부탁드려요.
217.33.11.18             주님 감사합니다. 오늘 회의를 잘 마친것 같아요. 주님 감사합니다.
217.33.11.18             주님 온누리교회와 사랑의교회에 후원 문의 메일을 보냈습니다.<br />주님 헤개의 마음을 부탁드립니다. 그리고 성령님의 역사하심을 기대합니다.<br />그리 아니하실지라도 감사해요.
